run_accession,te,reads,reads_in_file,reads_mapped
SRR1663540,transib3,3450,22319569,2246977
SRR1663540,G2,7827,22319569,2246977
SRR1663540,transib4,1977,22319569,2246977
SRR1663540,G3,2230,22319569,2246977
SRR1663540,jockey,21137,22319569,2246977
SRR1663540,flea,20055,22319569,2246977
SRR1663540,G4,8196,22319569,2246977
SRR1663540,G5,7598,22319569,2246977
SRR1663540,G6,4354,22319569,2246977
SRR1663540,297,38733,22319569,2246977
SRR1663540,G7,284,22319569,2246977
SRR1663540,HMS-Beagle,20669,22319569,2246977
SRR1663540,roo,161057,22319569,2246977
SRR1663540,Bari2,401,22319569,2246977
SRR1663540,Bari1,15434,22319569,2246977
SRR1663540,Tabor,17452,22319569,2246977
SRR1663540,Dbuz:Osvaldo,1,22319569,2246977
SRR1663540,Porto1,12046,22319569,2246977
SRR1663540,looper1,990,22319569,2246977
SRR1663540,Doc2-element,16091,22319569,2246977
SRR1663540,Dvir:Penelope,1,22319569,2246977
SRR1663540,Dpse:mini-me,84,22319569,2246977
SRR1663540,Dbuz:Kepler,373,22319569,2246977
SRR1663540,mariner2,2497,22319569,2246977
SRR1663540,Quasimodo,44618,22319569,2246977
SRR1663540,accord,17336,22319569,2246977
SRR1663540,GATE,29898,22319569,2246977
SRR1663540,HeT-A,35251,22319569,2246977
SRR1663540,Circe,37483,22319569,2246977
SRR1663540,invader3,8302,22319569,2246977
SRR1663540,invader4,7394,22319569,2246977
SRR1663540,HB,5773,22319569,2246977
SRR1663540,invader1,11597,22319569,2246977
SRR1663540,invader2,26608,22319569,2246977
SRR1663540,Juan,12796,22319569,2246977
SRR1663540,HMS-Beagle2,15757,22319569,2246977
SRR1663540,hopper,5141,22319569,2246977
SRR1663540,micropia,16781,22319569,2246977
SRR1663540,Dana:Tom,5631,22319569,2246977
SRR1663540,invader5,1309,22319569,2246977
SRR1663540,invader6,3729,22319569,2246977
SRR1663588,Dmel_rpl32,504,16900536,1541393
SRR1663588,Dmel_rhi,985,16900536,1541393
SRR1663588,Dmel_tj,851,16900536,1541393
SRR1663588,BS4,104,16900536,1541393
SRR1663588,BS3,3008,16900536,1541393
SRR1663588,G-element,3916,16900536,1541393
SRR1663588,ZAM,7053,16900536,1541393
SRR1663588,Idefix,26940,16900536,1541393
SRR1663588,opus,23025,16900536,1541393
SRR1663588,jockey2,2413,16900536,1541393
SRR1663588,1731,8776,16900536,1541393
SRR1663588,pogo,5894,16900536,1541393
SRR1663588,Rt1c,3761,16900536,1541393
SRR1663588,R2-element,5353,16900536,1541393
SRR1663588,Rt1b,30189,16900536,1541393
SRR1663588,Rt1a,10686,16900536,1541393
SRR1663588,Helena,982,16900536,1541393
SRR1663588,Tom1,524,16900536,1541393
SRR1663588,Doc,35993,16900536,1541393
SRR1663588,Dtei:I-element,748,16900536,1541393
SRR1663588,springer,10904,16900536,1541393
SRR1663588,Tirant,4289,16900536,1541393
SRR1663588,Osvaldo,536,16900536,1541393
SRR1663588,Dhyd:Minos,36,16900536,1541393
SRR1663588,Dsub:SGM,10,16900536,1541393
SRR1663588,R1-2,928,16900536,1541393
SRR1663588,S-element,8281,16900536,1541393
SRR1663588,gtwin,4275,16900536,1541393
SRR1663588,hopper2,1393,16900536,1541393
SRR1663588,Dvir:Helena,11469,16900536,1541393
SRR1663588,G5A,3689,16900536,1541393
SRR1663588,Transpac,13930,16900536,1541393
SRR1663588,copia,16402,16900536,1541393
SRR1663588,rover,11698,16900536,1541393
SRR1663588,Cr1a,53132,16900536,1541393
SRR1663588,S2,1798,16900536,1541393
SRR1663588,gypsy,9182,16900536,1541393
SRR1663588,Helitron,43,16900536,1541393
SRR1663588,Dbuz:ISBu2,4,16900536,1541393
SRR1663588,McClintock,8076,16900536,1541393
SRR1663588,Dm88,10103,16900536,1541393
SRR1663588,1360,37307,16900536,1541393
SRR1663588,diver,10621,16900536,1541393
SRR1663588,Stalker,22888,16900536,1541393
SRR1663588,INE-1,6032,16900536,1541393
SRR1663588,Dvir:Tv1,24,16900536,1541393
SRR1663588,TAHRE,5464,16900536,1541393
SRR1663588,BS,6928,16900536,1541393
SRR1663588,Dsub:GEM,186,16900536,1541393
SRR1663588,412,35403,16900536,1541393
SRR1663588,Doc4-element,2559,16900536,1541393
SRR1663588,diver2,8479,16900536,1541393
SRR1663588,Max-element,19642,16900536,1541393
SRR1663588,F-element,68791,16900536,1541393
SRR1663588,Fw2,1750,16900536,1541393
SRR1663588,Fw3,1176,16900536,1541393
SRR1663588,Burdock,7011,16900536,1541393
SRR1663588,Dvir:TART,563,16900536,1541393
SRR1663588,Tc1-2,3262,16900536,1541393
SRR1663588,blood,19620,16900536,1541393
SRR1663588,Dtak:R1A2,1,16900536,1541393
SRR1663588,TART-A,847,16900536,1541393
SRR1663588,Dbuz:BuT3,4,16900536,1541393
SRR1663588,TART-C,330,16900536,1541393
SRR1663588,Dnet:R1A,2,16900536,1541393
SRR1663588,TART-B,1837,16900536,1541393
SRR1663588,Dbuz:BuT6,20,16900536,1541393
SRR1663588,17.6,27622,16900536,1541393
SRR1663588,X-element,8591,16900536,1541393
SRR1663588,R1A1-element,145391,16900536,1541393
SRR1663588,I-element,23921,16900536,1541393
SRR1663588,Tc1,4796,16900536,1541393
